Audi No.,Aspect Ratio,Venue,City
?,2.39:1,"INOX: Quest Mall, Ballygunge","Kolkata, West Bengal"
?,2.39:1,"INOX: Inorbit Mall, Malad","Mumbai, Maharashtra"
?,2.39:1,"INOX: Pacific Mall, Jasola","New Delhi, Delhi"
?,2.39:1,"INOX: Mall of Asia, Yelahanka","Bengaluru, Karnataka"
