#,Ratio,Venue,City
7,2.39:1,"INOX: C-21 Mall, Scheme 54 PU4","Indore, Madhya Pradesh"
2,2.39:1,"INOX Megaplex: Phoenix Palassio, Sector 7, Gomti Nagar Extension","Lucknow, Uttar Pradesh"
3,2.39:1,"INOX Megaplex: Inorbit Mall, Malad","Mumbai, Maharashtra"
