#,From,To,Seat
1,Chennai,Port Blair,LM
2,Port Blair,Chennai,LW
3,Chennai,Delhi,RW
4,Delhi,Bengaluru,RW
5,Bengaluru,Trivandrum,LW
6,Madurai,Bengaluru,LW
7,Bengaluru,Delhi,RW
8,Delhi,Bengaluru,RW
9,Bengaluru,Chandigarh,LW
10,Delhi,Rajkot,RM
11,Rajkot,Mumbai,RW
12,Mumbai,Delhi,RW
13,Chandigarh,Srinagar,RW
14,Srinagar,Chandigarh,RM
15,Delhi,Kochi,
16,Kochi,Delhi,RW
17,Chandigarh,Hyderabad,RW
18,Hyderabad,Chandigarh,RM
19,Chandigarh,Delhi,RW
20,Delhi,Leh,LW
21,Leh,Delhi,LW
22,Delhi,Chandigarh,RW
