#,Title,Audio Lang,Subtitles,Picture,Format,Projection,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Fit,Release Date,Watch Date,Cinema,Audi No.,Seat No.,Company
,It Chapter Two,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2019.09.06,,"TDI Jagat, Chandigarh, India",,,Alone
,Joker,English,None,2D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,2019.10.02,,"Elante Mall, Chandigarh, India",,,Alone
,War,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2019.10.02,,"TDI Jagat, Chandigarh, India",,,Alone
,Jumanji: The Next Level,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2019.12.13,,"TDI Jagat, Chandigarh, India",,,Alone
,Tanhaji,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2020.01.10,,"TDI Jagat, Chandigarh, India",,,Alone
,Street Dancer,Hindi,None,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2020.01.24,,"Elante Mall, Chandigarh, India",,,Alone
,Housefull 4,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2019.10.25,,"Piccadily Square Mall, Chandigarh, India",,,Alone
,Tanhaji,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2020.01.10,,"Republic Mall, Manimajra",,,Alone
,Malang,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2020.02.07,,"Republic Mall, Manimajra",,,Alone
,Dunkirk,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2017.07.21,,"Elante Mall, Chandigarh, India",,,Alone
,Tenet,English,None,2D,,Xenon,2K,5.1,2.39:1,2.20:1,FS,2020.12.04,,"TDI Jagat, Chandigarh, India",,,Alone
,Roohi,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.03.11,,"Centra Mall, Chandigarh, India",,,Alone
,Bell Bottom,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.08.19,,"TDI Jagat, Chandigarh, India",,,Alone
,Sooryavanshi,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.11.04,,"Piccadily Square Mall, Chandigarh, India",,,Alone
,Antim: The Final Truth,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.11.26,,"Piccadily Square Mall, Chandigarh, India",,,Alone
,Chandigarh Kare Aashiqui,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.12.10,,"TDI Jagat, Chandigarh, India",,,Alone
,The New Mutants,English,None,2D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,2020.10.30,,"DLF Centre Mall, Chandigarh, India",,,Alone
,Wonder Woman 1984,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2020.12.25,,"TDI Jagat, Chandigarh, India",,,Alone
,Tom & Jerry,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,2021.02.19,,"DLF Centre Mall, Chandigarh, India",,,Alone
,Chaos Walking,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.05.25,,"Elante Mall, Chandigarh, India",,,Alone
,Nobody,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.08.27,,"Elante Mall, Chandigarh, India",,,Alone
,Godzilla vs. Kong,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.03.29,,"TDI Jagat, Chandigarh, India",,,Alone
,Mortal Kombat,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.04.08,,"DLF Centre Mall, Chandigarh, India",,,Alone
,A Quiet Place Part II,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.05.28,,"DLF Centre Mall, Chandigarh, India",,,Alone
,The Conjuring: The Devil Made Me Do It,English,None,2D,4DX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.08.13,,"Elante Mall, Chandigarh, India",,,Alone
,Hitman's Wife's Bodyguard,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.08.06,,"Bestech Square Mall, Mohali",,,Alone
