#,Title,Audio Lang,Subtitles,Picture,Format,Projection,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Fit,Release Date,Watch Date,Cinema,Audi No.,Seat No.,Company
,Kung Fu Panda 4,English,English,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.03,2024.01.04,"TDI Jagat, Chandigarh, India",,,Alone
,Ghostbusters: Frozen Empire,English,English,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.04,2024.01.05,"TDI Jagat, Chandigarh, India",,,Alone
,Godzilla x Kong: The New Empire,English,English,3D,IMAX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.05,2024.01.06,"Logix City Center, Noida",,,Alone
,Civil War,English,English,2D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,2024.01.06,2024.01.07,"TDI Jagat, Chandigarh, India",,,Alone
,Crew,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.07,2024.01.08,"TDI Jagat, Chandigarh, India",,,Alone
,The Fall Guy,English,English,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.08,2024.01.09,"Centra Mall, Chandigarh, India",,,Alone
,Kingdom of the Planet of the Apes,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.09,2024.01.10,"TDI Jagat, Chandigarh, India",,,Alone
,Furiosa,Hindi,None,2D,4DX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.10,2024.01.11,"Elante Mall, Chandigarh, India",,,Alone
,IF,English,English,2D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,2024.01.11,2024.01.12,"Elante Mall, Chandigarh, India",,,Alone
,The Garfield Movie,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,1.85:1,FS,2024.01.12,2024.01.13,"TDI Jagat, Chandigarh, India",,,Alone
,Shaitaan,Hindi,None,2D,Atmos,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.13,2024.01.14,"Raj Mandir, Jaipur",Raj Mandir,Jaipur,Alone
,Fighter,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.14,2024.01.15,"TDI Jagat, Chandigarh, India",,,Alone
,Crakk,Hindi,None,2D,LUXE,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.15,2024.01.16,"CP67 Mall, Mohali",,,Alone
,The Boy And The Heron,English,English,2D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,2024.01.18,2024.01.19,"TDI Jagat, Chandigarh, India",,,Alone
,Zindagi Na Milegi Dobara,Hindi ,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2011.07.15,2024.06.01,"Elante Mall, Chandigarh, India",,,Alone
,Munjya,Hindi,None,2D,Atmos,Xenon,2K,5.1,2.39:1,2.39:1,FS,,2024.06.18,"Vishal Mall, Rajouri Garden, Delhi",,,Alone
,Inside Out 2,English,English,3D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,,2024.06.18,"Vishal Mall, Rajouri Garden, Delhi",,,Alone
,Kalki 2898 AD,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.20,2024.01.21,"TDI Jagat, Chandigarh, India",,,Alone
,A Quiet Place Day One,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.06.28,2024.07.01,"TDI Jagat, Chandigarh, India",2,G5,Alone
,Kill,Hindi,English,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.07.05,2024.07.06,"Centra Mall, Chandigarh, India",,,Alone
,Despicable Me 4,English,English,3D,RealD,Xenon,2K,5.1,2.39:1,1.85:1,FS,2024.07.05,2024.07.11,"TDI Jagat, Chandigarh, India",,,Alone
,Devara: Part 1,Hindi,None,2D,IMAX,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,,,,Alone
,Longlegs,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.07.12,2024.07.13,"TDI Jagat, Chandigarh, India",,,Alone
,Kalki 2898 AD,Hindi,None,3D,P[XL]; RealD; Atmos,Xenon,2K,5.1,1.85:1,2.39:1,FS,2024.06.28,2024.07.18,"TDI Jagat, Chandigarh, India",,,Alone
,Twsiters,English,English,2D,ICE,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.07.18,2024.07.25,"DLF Promenade, Delhi",,,Alone
,Deadpool And Wolverine,English,English,3D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.07.26,2024.07.26,"Select Citywalk,Saket, Delhi",,,Alone
,Deadpool And Wolverine,Hindi,None,3D,RealD; Atmos,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.07.26,2024.08.01,"TDI Jagat, Chandigarh, India",,,Alone
,Partner,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2007.07.20,2024.08.03,"Elante Mall, Chandigarh, India",,,Alone
,Uljah,Hindi,None,2D,P[XL]; 4K,Xenon,2K,5.1,1.85:1,1.85:1,FS,2024.08.02,2024.08.05,"CP67 Mall, Mohali",,,Alone
,Stree 2,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.08.15,2024.08.18,"TDI Jagat, Chandigarh, India",,,Alone
,Alien: Romulus,English,English,2D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.08.23,2024.08.25,"Mall of India, Noida",,,Alone
,Stree 2,Hindi,None,2D,P[XL]; Atmos,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.08.15,2024.08.25,"Mall of India, Noida",,,Alone
,Beetlejuice Beetlejuice,English,English,2D,4DX,Xenon,2K,5.1,2.39:1,1.85:1,FS,2024.09.06,2024.09.07,"Mohali Walk, Mohali",,,Alone
,Tumbbad,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Elante Mall, Chandigarh, India",,,Alone
,Transformers One,Hindi,Hindi SDH,3D,Laser; RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"CP67 Mall, Mohali",,,Alone
,Joker 2,English ,English,2D,P[XL]; Atmos,Xenon,2K,5.1,1.85:1,2.39:1,FS,2024.10.02,2024.10.02,"CP67 Mall, Mohali",,,Alone
,Jigra,Hindi,None,2D,2K Laser; 5.1,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.10.11,2024.10.15,"CP67 Mall, Mohali",4,E8,Alone
,Gladiator,English ,None,2D,4K Laser; 5.1,Xenon,2K,5.1,2.39:1,2.39:1,FS,2000.09.01,2024.10.24,"Mohali Walk, Mohali",1,,Alone
,Ajab Prem Ki Gazab Kahani,Hindi,None,2D,2K Laser; 5.1,Xenon,2K,5.1,2.39:1,2.39:1,FS,2009.11.06,2024.10.26,"Mohali Walk, Mohali",4,,Alone
,Venom: The Last Dance,English,English,3D,IMAX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.10.24,2024.11.02,"Ambience Mall, Gurugram",4,CC-F15,Alone
,Singham Again,Hindi,None,2D,IMAX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.11.01,2024.11.02,"Ambience Mall, Gurugram",4,PE-J14,Alone
,Kanguva,Hindi,English,3D,2K Laser; 7.1,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.11.16,2024.11.16,"Mohali Walk, Mohali",,,Alone
,Gladiator II,Hindi,None,2D,4K Laser; 7.1,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.11.17,2024.11.17,"Mohali Walk, Mohali",,,Alone
,Kal Ho Na Ho,Hindi,None,2D,P[XL]; 5.1,Xenon,2K,5.1,1.85:1,2.39:1,FS,,2024.11.17,"CP67 Mall, Mohali",,,Alone
,Moana 2,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,,,,Alone
,Wicked,Hindi,None,2D,,Xenon,2K,7.1,2.39:1,2.39:1,FS,,,,,,Alone
,Bhool Bhulaiyaa 3,Hindi,None,2D,P[XL]; 5.1,Xenon,2K,5.1,1.85:1,2.39:1,FS,,2024.12.04,"CP67 Mall, Mohali",,,Alone
,Pushpa 2,Hindi,None,2D,P[XL]; 5.1,Xenon,2K,5.1,1.85:1,2.39:1,FS,,,"CP67 Mall, Mohali",,,Alone
,Mufasa,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,,,,,,Alone
,Barroz,Malayalam,English,3D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,,2024.12.25,,,,Alone
,Mufasa,Hindi,None,2D,P[XL]; 5.1,Xenon,2K,5.1,1.85:1,1.85:1,FS,,,"CP67 Mall, Mohali",,,Alone
,Kaho Na Pyaar Hai,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,,,,Alone
,Sonic 3,Hindi,None,2D,P[XL]; 5.1,Xenon,2K,5.1,1.85:1,2.39:1,FS,,,"CP67 Mall, Mohali",,,Alone
,Nosferatu ,Hindi,None,2D,P[XL]; 5.1,Laser,2K,5.1,1.85:1,1.85:1,FS,,,"CP67 Mall, Mohali",,,Alone
,Nosferatu ,English,English,4K,ONYX; 7.1,Xenon,4K,5.1,2.39:1,1.85:1,FS,,,"DLF Avenue, Saket, Delhi",,,Alone
,Mufasa,Hindi,None,RealD 3D,4DX 5.1,Laser,2K,5.1,2.39:1,1.85:1,FS,,,"DLF Avenue, Saket, Delhi",,,Alone
,Ramayana,Hindi,None,4K,ONYX; 5.1,Xenon,4K,5.1,2.39:1,1.85:1,FS,,,"DLF Avenue, Saket, Delhi",,,Alone
,Kanguva,Hindi,None,2D,,Laser,2K,5.1,2.39:1,2.39:1,FS,,,,,,Alone
,Sky Force,Hindi,None,2D,P[XL]; 5.1,Laser,2K,5.1,1.85:1,2.39:1,FS,,,"CP67 Mall, Mohali",,,Alone
,Interstellar,English,English,2D,IMAX with Laser,Laser,4K,5.1,2.39:1,2.39:1,FS,2014.11.07,2025.02.08,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Captain America Brave New World,Hindi,None,2D,IMAX with Laser,Laser,2K,12.1,2.39:1,2.39:1,FS,,,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Chhaava,Hindi,None,2D,IMAX with Laser,Laser,2K,5.1,2.39:1,2.39:1,FS,,,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Crazxy,Hindi,None,2D,,Laser,2K,7.1,2.39:1,2.39:1,FS,2025.02.28,2025.03.02,,,,Alone
,Mickey 17,English,English,4K,IMAX with Laser,Laser,4K,5.1,2.39:1,1.85:1,FS,2025.03.07,2025.03.09,"Palladium, Ahmedabad, Gujarat, India",,,Alone
,Dune Part Two,English,English,4K,IMAX with Laser,Laser,4K,5.1,2.39:1,2.39:1,FS,2024.03.01,2025.03.15,"Rajhans Precia, Surat, Gujarat, India",,,Alone
,Hubble,Hindi,None,IMAX 3D,IMAX 15/70 GT3D,Xenon,IMAX 15/70,6.1,2.39:1,2.39:1,FS,2010.03.19,2025.03.15,"Gujarat Science City, Ahmedabad, Gujarat, India",,,Alone
,Dune Part Two,English,English,2D,IMAX with Laser,Laser,4K,12.1,2.39:1,2.39:1,FS,2024.03.01,2025.03.16,"PVR, Select Citywalk, Saket, Delhi, India",,,Alone
,Interstellar,English,English,2D,IMAX with Laser,Laser,4K,5.1,2.39:1,2.39:1,FS,2014.11.07,2025.03.16,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,The Diplomat,Hindi,None,4K,P[XL]; 5.1,Laser,4K,5.1,1.85:1,2.39:1,FS,2025.03.14,2025.03.21,"CP67 Mall, Mohali",,,Alone
,Snow White,English,English,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2025.03.21,2025.03.25,,,,Alone
,Thunderbolts*,English,English,3D,IMAX with Laser,Laser,2K,5.1,1.90:1,1.90:1,FS,2025.05.03,2025.05.03,"Paras Cinema, Nehru Enclave, Delhi",,,Alone
,Sinners,English,English,2D,IMAX with Laser,Laser,4K,12.1,1.90:1,1.90:1,FS,2025.05.13,2025.05.13,"Select Citywalk, Saket, Delhi",,,Alone
,Sinners,English,English,2D,Laser,Laser,2K,5.1,2.39:1,2.76:1,FS,2025.05.13,2025.05.13,"CP67, Mohali, Punjab, India",,,Alone
,Thunderbolts*,English,English,2D,IMAX with Laser,Laser,4K,12.1,1.90:1,1.90:1,FS,2025.05.03,2025.05.03,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Sinners,English,English,2D,IMAX with Laser,Laser,4K,12.1,1.90:1,1.90:1,FS,2025.05.13,2025.05.13,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Mission Impossible: The Final Reckoning,English,English,2D,IMAX with Laser,Laser,4K,12.1,1.90:1,1.90:1,FS/LB,2025.05.13,2025.05.13,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Mission Impossible: The Final Reckoning,English,English,2D,Laser,Laser,4K,5.1,2.39:1,2.39:1,FS,2025.05.13,2025.05.13,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Final Destination: Bloodline,Hindi,None,2D,Xenon,Xenon,4K,5.1,2.39:1,2.39:1,FS,,,"Rolling Reels, Saharanpur, Uttar Pradesh, India",,,Alone
,Housefull 5,Hindi,None,2D,Laser,Laser,2K,Atmos,1.85:1,2.39:1,LB,,,"CP67, Mohali, Punjab, India",,,Alone
,Crayon Shinchan,,None,,,Laser,,,1.85:1,1.78:1,PB,,,,,,Alone
,Ballerina,,None,,,Laser,,,,,FS,,,,,,Alone
,How To Train Your Dragon,,None,,,Laser,,,,,FS,,,,,,Alone
,Elio,,None,,,Xenon,,,,,FS,,,,,,Alone
,28 Years Later,,None,,,Xenon,,,,,LB,,,,,,Alone
,F1,Hindi,None,2D,4DX,Laser,2K,7.1,2.39:1,2.39:1,FS,,,,,,Alone
,F1,English,English,2D,Dolby Cinema,Dual Laser,4K,Atmos,2.1:1,2.39:1,LB,2025.07.03,2025.07.03,"Citypride Multiplex, Pune, Maharashtra, India",,,Alone
,Jurassic World: Rebirth,English,English,3D,Dolby Cinema,Dual Laser,2K,Atmos,2.1:1,2.39:1,LB,2025.07.03,2025.07.03,"Citypride Multiplex, Pune, Maharashtra, India",,,Alone
,Superman,Hindi,None,3D,P[XL],Laser,2K,5.1,1.85:1,1.85:1,FS,2025.07.11,205.07.11,,,,Alone
,Superman,English,English,3D,P[XL],Laser,2K,5.1,1.85:1,1.85:1,FS,2025.07.11,205.07.12,,,,Alone
,Mahavatar Narsimha,Hindi,English,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,,,,Alone
,The Fantastic Four: First Steps,Hindi,None,3D,RealD,Xenon,2K,7.1,2.39:1,2.39:1,FS,,,,,,Alone
,Jurassic World: Rebirth,Hindi,None,3D,RealD,Xenon,2K,7.1,2.39:1,2.39:1,FS,,,,,,Alone
,Sikandar,Hindi,None,,IMAX,Laser,4K,5.1,1.85:1,2.39:1,LB,,,,,,Alone
,A Minecraft Movie,English,English,3D,IMAX with Laser,Laser,2K,5.1,1.90:1,1.85:1,PB,,,,,,Alone
,Drop,English,English,2D,PVR GOLD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,,,,Alone
,Warfare,English,English,2D,,Xenon,2K,5.1,2.39:1,2.00:1,WB,,,,,,Alone
,Ne Zha 2,Hindi,English,3D,Laser,Laser,2K,5.1,2.39:1,2.39:1,FS,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
,,,,,,,,,,,,,,,,,Alone
