"Title","Real HDR","Dynamic Brightness","Base Nits","Dolby Vision"
"The Lion King","Yes","Yes","100","Outstanding"
"Interstellar","No","Yes","100","Average"
"Mufasa: The Lion King","No","No",
"Oppenheimer","No","No","203","Static"
