"Title","Director","Release Date","Container","Size (GB)","Runtime (minutes)","Video Source","Video Codec","Video Framerate","Video Bitrate","Video Width","Video Height","Video Color Space","Video Gamma","Aspect Ratio","Audio Track 1 Source","Audio Track 1 Codec","Audio Track 1 Channels","Audio Track 1 Bitrate","Audio Track 1 Language","Audio Track 2 Source","Audio Track 2 Codec","Audio Track 2 Channels","Audio Track 2 Bitrate","Audio Track 2 Language","Subtitles 1","Subtitles 2"
"Dune Part Two","Denis Velleneuve","2024.03.01","MP4","29.7","166","Movies Anywhere","DVH1","23.976","24.1","3840","2160","IPTPQc2 (Dynamic)","Dolby Vision Profile 5","2.39 (letterboxed)","Amazon Prime","Dolby Digital Plus","5.1","640","Hindi","Movies Anywhere","Dolby Digital Plus","Atmos","768","English","English","English SDH"
"Dune Part One","Denis Velleneuve","2021.10.01","MP4","25","155","Max","DVH1","23.976","21.4","3840","1600","IPTPQc2 (Dynamic)","Dolby Vision Profile 5","2.39","Blu-ray","Dolby Digital","5.1","448","Hindi","Max","Dolby Digital Plus","Atmos","768","English","English","English SDH"
"Oppenheimer","Christopher Nolan","2023.07.21","MP4","29.7","180","Movies Anywhere","DVH1","23.976","24.1","3840","2160","IPTPQc2 (Dynamic)","Dolby Vision Profile 5","2.21 (letterboxed)","Amazon Prime","Dolby Digital Plus","5.1","640","Hindi","Amazon Prime","Dolby Digital Plus","5.1","640","English","English","English SDH"
"Inception","Christopher Nolan","2010.07.16","MP4","29.7","166","Movies Anywhere","DVH1","23.976","24.1","3840","2160","IPTPQc2 (Dynamic)","Dolby Vision Profile 5","2.39 (letterboxed)","Amazon Prime","Dolby Digital Plus","5.1","640","Hindi","Movies Anywhere","Dolby Digital Plus","Atmos","768","English","English","English SDH"
