#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,Malang,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,7-Feb-20,,"Republic Mall, Manimajra",,
,Dunkirk,English,,2D,,2K,5.1,2.39:1,2.39:1,21-Jul-17,,"Elante Mall, Chandigarh, India",,
,Tenet,English,,2D,,2K,5.1,2.39:1,2.20:1,4-Dec-20,,"TDI Jagat, Chandigarh, India",,
,Roohi,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,11-Mar-21,,"Centra Mall, Chandigarh, India",,
,Bell Bottom,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,19-Aug-21,,"TDI Jagat, Chandigarh, India",,
,Sooryavanshi,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,4-Nov-21,,"Piccadily Square Mall, Chandigarh, India",,
,Antim: The Final Truth,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,26-Nov-21,,"Piccadily Square Mall, Chandigarh, India",,
,Chandigarh Kare Aashiqui,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,10-Dec-21,,"TDI Jagat, Chandigarh, India",,
,The New Mutants,English,,2D,,2K,5.1,2.39:1,1.85:1,30-Oct-20,,"DLF Centre Mall, Chandigarh, India",,
,Wonder Woman 1984,English,,2D,,2K,5.1,2.39:1,2.39:1,25-Dec-20,,"TDI Jagat, Chandigarh, India",,
,Tom & Jerry,Hindi,,2D,,2K,5.1,2.39:1,1.85:1,19-Feb-21,,"DLF Centre Mall, Chandigarh, India",,
,Chaos Walking,English,,2D,,2K,5.1,2.39:1,2.39:1,25-May-21,,"Elante Mall, Chandigarh, India",,
,Nobody,English,,2D,,2K,5.1,2.39:1,2.39:1,27-Aug-21,,"Elante Mall, Chandigarh, India",,
,Godzilla vs. Kong,English,,2D,,2K,5.1,2.39:1,2.39:1,29-Mar-24,,"TDI Jagat, Chandigarh, India",,
,Mortal Kombat,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,8-Apr-21,,"DLF Centre Mall, Chandigarh, India",,
,A Quiet Place Part II,English,,2D,,2K,5.1,2.39:1,2.39:1,28-May-21,,"DLF Centre Mall, Chandigarh, India",,
,The Conjuring: The Devil Made Me Do It,English,,2D,4DX,2K,5.1,2.39:1,2.39:1,13-Aug-21,,"Elante Mall, Chandigarh, India",,
,Hitman's Wife's Bodyguard,English,,2D,,2K,5.1,2.39:1,2.39:1,6-Aug-21,,"Bestech Square Mall, Mohali",,
,F9,English,,2D,,2K,5.1,2.39:1,2.39:1,3-Sep-21,,"TDI Jagat, Chandigarh, India",,
,The Boss Baby: Family Business,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,8-Oct-21,,"TDI Jagat, Chandigarh, India",,
,Jungle Cruise,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,31-Jul-21,,"Bestech Square Mall, Mohali",,
,The Suicide Squad,English,,2D,,2K,5.1,2.39:1,1.90:1,5-Aug-21,,"Elante Mall, Chandigarh, India",,
,Free Guy,English,,2D,,2K,5.1,2.39:1,2.39:1,17-Sep-21,,"DLF Centre Mall, Chandigarh, India",,
,Reminiscence,English,,2D,,2K,5.1,2.39:1,2.39:1,27-Aug-21,,"Elante Mall, Chandigarh, India",,
,Shang-Chi And The Legend Of The Ten Rings,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,3-Sep-21,,"Cosmo Mall, Zirakpur",,
,Shang-Chi And The Legend Of The Ten Rings,English,,3D,,2K,5.1,2.39:1,2.39:1,3-Sep-21,,"Elante Mall, Chandigarh, India",,
,RRR,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,25-Mar-22,,"Bestech Square Mall, Mohali",,
,Malignant,English,,2D,,2K,5.1,2.39:1,2.39:1,10-Sep-21,,"TDI Jagat, Chandigarh, India",,
