"Venue","Width (ft)","Height (ft)","Area (ft²)"
"Screen 1 (PCX), Prasads Multiplex, Hyderabad, Telangana","98.6","64","6310"
"V Celluloids V EPIQ, PSR Nellore, Sullurpeta, Andhra Pradesh","100","54","5400"
"IMAX, Gujarat Science City, Ahmedabad, Gujarat","96","67","6432"
"Mukta A2 Cinemas: New Excelior, Fort, Mumbai, Maharashtra","87","37","3219"
"Miraj Maximum, MGF Metropolis Mall, Gurugram, Haryana","86","36","3096"
"Screen 1 (Enigma), MovieMax: Pacific Mall, Ghaziabad, Uttar Pradesh","80","33","2640"
"Sceen 4 (PXL), Mani Square Mall, Kolkata, Bengal","85","46","3825"
